date,event_type,description,rbi_rate_change_bps
2023-02-01,UNION_BUDGET,Union Budget FY2023-24,
2023-02-08,RBI_MPC,RBI MPC Feb 2023 - Rate Hold 6.50%,0
2023-04-06,RBI_MPC,RBI MPC Apr 2023 - Rate Hold 6.50%,0
2023-06-08,RBI_MPC,RBI MPC Jun 2023 - Rate Hold 6.50%,0
2023-08-10,RBI_MPC,RBI MPC Aug 2023 - Rate Hold 6.50%,0
2023-10-06,RBI_MPC,RBI MPC Oct 2023 - Rate Hold 6.50%,0
2023-12-08,RBI_MPC,RBI MPC Dec 2023 - Rate Hold 6.50%,0
2023-01-31,US_FOMC,FOMC Jan 2023,
2023-03-22,US_FOMC,FOMC Mar 2023,
2023-05-03,US_FOMC,FOMC May 2023,
2023-06-14,US_FOMC,FOMC Jun 2023,
2023-07-26,US_FOMC,FOMC Jul 2023,
2023-09-20,US_FOMC,FOMC Sep 2023,
2023-11-01,US_FOMC,FOMC Nov 2023,
2023-12-13,US_FOMC,FOMC Dec 2023,
2018-02-01,UNION_BUDGET,Union Budget FY2018-19,
2018-02-07,RBI_MPC,RBI MPC Feb 2018,0
2018-06-06,RBI_MPC,RBI MPC Jun 2018,25
2018-08-01,RBI_MPC,RBI MPC Aug 2018,0
2018-10-05,RBI_MPC,RBI MPC Oct 2018,0
2018-12-05,RBI_MPC,RBI MPC Dec 2018,0
2019-02-01,UNION_BUDGET,Union Budget FY2019-20,
2019-02-07,RBI_MPC,RBI MPC Feb 2019,0
2019-04-04,RBI_MPC,RBI MPC Apr 2019,0
2019-06-06,RBI_MPC,RBI MPC Jun 2019,0
2019-08-07,RBI_MPC,RBI MPC Aug 2019,-35
2019-10-04,RBI_MPC,RBI MPC Oct 2019,-25
2019-12-05,RBI_MPC,RBI MPC Dec 2019,0
2020-02-01,UNION_BUDGET,Union Budget FY2020-21,
2020-02-06,RBI_MPC,RBI MPC Feb 2020,0
2020-03-27,RBI_MPC,RBI MPC Mar 2020 (emergency),-75
2020-05-22,RBI_MPC,RBI MPC May 2020,-40
2020-08-06,RBI_MPC,RBI MPC Aug 2020,0
2020-10-09,RBI_MPC,RBI MPC Oct 2020,0
2020-12-04,RBI_MPC,RBI MPC Dec 2020,0
2021-02-01,UNION_BUDGET,Union Budget FY2021-22,
2021-02-05,RBI_MPC,RBI MPC Feb 2021,0
2021-04-07,RBI_MPC,RBI MPC Apr 2021,0
2021-06-04,RBI_MPC,RBI MPC Jun 2021,0
2021-08-06,RBI_MPC,RBI MPC Aug 2021,0
2021-10-08,RBI_MPC,RBI MPC Oct 2021,0
2021-12-08,RBI_MPC,RBI MPC Dec 2021,0
2022-02-01,UNION_BUDGET,Union Budget FY2022-23,
2022-02-10,RBI_MPC,RBI MPC Feb 2022,0
2022-04-08,RBI_MPC,RBI MPC Apr 2022,0
2022-05-04,RBI_MPC,RBI MPC May 2022 (emergency),40
2022-06-08,RBI_MPC,RBI MPC Jun 2022,50
2022-08-05,RBI_MPC,RBI MPC Aug 2022,50
2022-09-30,RBI_MPC,RBI MPC Sep 2022,50
2022-12-07,RBI_MPC,RBI MPC Dec 2022,35
