date,repo_rate,reverse_repo_rate,tbill_91d,tbill_182d,tbill_364d,gsec_2y,gsec_10y
2018-01-01,6.00,5.75,6.30,6.45,6.55,7.20,7.40
2018-06-01,6.25,6.00,6.50,6.60,6.70,7.35,7.55
2019-02-07,6.25,6.00,6.40,6.50,6.60,7.10,7.50
2019-08-07,5.40,5.15,5.50,5.60,5.70,6.20,6.80
2020-03-27,4.40,4.00,4.50,4.60,4.70,5.50,6.50
2020-06-06,4.00,3.35,3.80,3.90,4.00,5.00,6.00
2021-05-22,4.00,3.35,3.50,3.60,3.70,5.20,6.10
2022-05-04,4.40,3.75,4.80,5.00,5.10,6.50,7.30
2022-10-05,5.90,3.35,6.50,6.60,6.70,7.20,7.40
2023-02-08,6.50,3.35,7.20,7.30,7.40,7.10,7.30
2023-04-06,6.50,3.35,6.90,7.00,7.10,7.00,7.20
2023-06-08,6.50,3.35,6.85,6.95,7.05,7.05,7.25
2023-08-10,6.50,3.35,6.80,6.90,7.00,7.10,7.30
2023-10-06,6.50,3.35,6.75,6.85,6.95,7.15,7.35
2023-12-08,6.50,3.35,6.70,6.80,6.90,7.05,7.20
